"","X","building_type","total_area_of_buildings","num_of_buildings","num_of_floors","num_of_resdnts_units","num_of_units","condo.","coop.","primary_fuel","boiler_capacity","total_consumption_gallons","boiler_install_date","boiler_year"
"1",0,"Elevator Apartments",86412,1,6,87,87," "," ","#6",6,716160,1986,1
"2",1,"Elevator Apartments",134703,2,6,127,127," "," ","#6",6.27,550000,1993,1
"3",2,"Elevator Apartments",480769,1,11,0,1," "," ","#6",25.21,492750,1989,1
"4",3,"Loft Buildings",421234,4,8,0,1," "," ","#6",49.5,482040,2001,1
"5",4,"Walk-Up Apartments",53376,1,6,67,67," "," ","#6",4.2,480000,1983,1
"6",5,"Educational Structures",116508,4,1,0,1," "," ","#6",29.41,459900,1995,1
"7",6,"Elevator Apartments",337570,1,21,322,322," ","YES","#6",20.3,423400,1967,0
"8",7,"Walk-Up Apartments",1074489,2,42,871,872," ","YES","#6",16.7,420042,2007,1
"9",8,"Office Buildings",34816,1,4,44,44," "," ","#4",3.43,395491,1980,0
"10",9,"Elevator Apartments",55700,1,5,60,60," "," ","#4",4.96,384117,1988,1
"11",10,"Condominiums",421833,2,9,355,355," "," ","#4",14.7,375584,1973,0
"12",11,"Office Buildings",256750,1,19,225,225," ","YES","#6",19.99,374490,1992,1
"13",12,"Condominiums",235297,1,12,0,1," "," ","#6",21,373020,1999,1
"14",13,"Walk-Up Apartments",285056,1,17,321,322," ","YES","#6",16.8,367920,1966,0
"15",14,"Educational Structures",173369,1,10,0,1," "," ","#6",21,365000,1999,1
"16",15,"Elevator Apartments",34356,1,5,46,52," "," ","#6",4.2,361356,1987,1
"17",16,"Elevator Apartments",318060,2,30,266,266," ","YES","#6",16.94,354364,1982,1
"18",17,"Walk-Up Apartments",404890,2,20,437,437," ","YES","#6",16.8,350000,1986,1
"19",18,"Loft Buildings",34800,2,5,0,6," "," ","#4",4.48,343075,1971,0
"20",19,"Walk-Up Apartments",598478,5,13,624,624," ","YES","#6",17.76,328500,1993,1
"21",20,"Walk-Up Apartments",1069698,4,19,968,968," "," ","#4",16.8,328500,1994,1
"22",21,"Walk-Up Apartments",45000,1,5,48,48," "," ","#6",3.1,328500,1986,1
"23",22,"Office Buildings",490000,2,21,459,459," "," ","#6",15.46,317952,1997,1
"24",23,"Office Buildings",407920,1,20,437,437," ","YES","#6",18.3,306600,1986,1
"25",24,"Elevator Apartments",35986,1,6,48,48," "," ","#6",3.28,281853,1989,1
"26",25,"Elevator Apartments",1074489,2,42,871,872," ","YES","#6",21,280000,1984,1
"27",26,"Walk-Up Apartments",421833,2,9,355,355," "," ","#6",10.04,279882,2003,1
"28",27,"Elevator Apartments",254000,1,6,326,326," "," ","#6",12.62,279225,1989,1
"29",28,"Walk-Up Apartments",320157,1,4,360,360," "," ","#6",12.62,262800,1989,1
"30",29,"Office Buildings",235000,1,14,227,227," "," ","#4",12.6,262075,2002,1
"31",30,"Walk-Up Apartments",201511,2,12,145,145," ","YES","#6",11.9,260610,1990,1
"32",31,"Elevator Apartments",2e+05,1,6,185,185," ","YES","#6",14.7,252945,1986,1
"33",32,"Elevator Apartments",276550,1,10,298,301," "," ","#4",12.6,246375,1994,1
"34",33,"Elevator Apartments",247530,1,19,188,188," ","YES","#6",17.71,233600,1982,1
"35",34,"Educational Structures",174671,1,18,213,213," "," ","#6",17.7,230607,2006,1
"36",35,"Elevator Apartments",237000,1,6,176,176," "," ","#6",10.36,229950,1994,1
"37",36,"Walk-Up Apartments",90744,1,6,64,65," "," ","#4",5.3,226750,1982,1
"38",37,"Office Buildings",105356,1,6,60,60," "," ","#4",5.32,226750,1982,1
"39",38,"Loft Buildings",168962,1,12,143,143," ","YES","#6",10.5,219000,1983,1
"40",39,"Office Buildings",395000,3,6,462,462," ","YES","#6",21,219000,1969,0
"41",40,"Walk-Up Apartments",395000,3,6,462,462," ","YES","#6",12.3,219000,1969,0
"42",41,"Walk-Up Apartments",421234,4,8,0,1," "," ","#6",23.94,214240,2001,1
