,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
0,Elevator Apartments,86412.0,1.0,6.0,87.0,87.0, , ,#6,6.0,716160.0,1986
1,Elevator Apartments,134703.0,2.0,6.0,127.0,127.0, , ,#6,6.27,550000.0,1993
2,Elevator Apartments,480769.0,1.0,11.0,0.0,1.0, , ,#6,25.21,492750.0,1989
3,Loft Buildings,421234.0,4.0,8.0,0.0,1.0, , ,#6,49.5,482040.0,2001
4,Walk-Up Apartments,53376.0,1.0,6.0,67.0,67.0, , ,#6,4.2,480000.0,1983
5,Educational Structures,116508.0,4.0,1.0,0.0,1.0, , ,#6,29.41,459900.0,1995
6,Elevator Apartments,337570.0,1.0,21.0,322.0,322.0, ,YES,#6,20.3,423400.0,1967
7,Walk-Up Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,16.7,420042.0,2007
8,Office Buildings,34816.0,1.0,4.0,44.0,44.0, , ,#4,3.43,395491.0,1980
9,Elevator Apartments,55700.0,1.0,5.0,60.0,60.0, , ,#4,4.96,384117.0,1988
10,Condominiums,421833.0,2.0,9.0,355.0,355.0, , ,#4,14.7,375584.0,1973
11,Office Buildings,256750.0,1.0,19.0,225.0,225.0, ,YES,#6,19.99,374490.0,1992
12,Condominiums,235297.0,1.0,12.0,0.0,1.0, , ,#6,21.0,373020.0,1999
13,Walk-Up Apartments,285056.0,1.0,17.0,321.0,322.0, ,YES,#6,16.8,367920.0,1966
14,Educational Structures,173369.0,1.0,10.0,0.0,1.0, , ,#6,21.0,365000.0,1999
15,Elevator Apartments,34356.0,1.0,5.0,46.0,52.0, , ,#6,4.2,361356.0,1987
16,Elevator Apartments,318060.0,2.0,30.0,266.0,266.0, ,YES,#6,16.94,354364.0,1982
17,Walk-Up Apartments,404890.0,2.0,20.0,437.0,437.0, ,YES,#6,16.8,350000.0,1986
18,Loft Buildings,34800.0,2.0,5.0,0.0,6.0, , ,#4,4.48,343075.0,1971
19,Walk-Up Apartments,598478.0,5.0,13.0,624.0,624.0, ,YES,#6,17.76,328500.0,1993
20,Walk-Up Apartments,1069698.0,4.0,19.0,968.0,968.0, , ,#4,16.8,328500.0,1994
21,Walk-Up Apartments,45000.0,1.0,5.0,48.0,48.0, , ,#6,3.1,328500.0,1986
22,Office Buildings,490000.0,2.0,21.0,459.0,459.0, , ,#6,15.46,317952.0,1997
23,Office Buildings,407920.0,1.0,20.0,437.0,437.0, ,YES,#6,18.3,306600.0,1986
24,Elevator Apartments,35986.0,1.0,6.0,48.0,48.0, , ,#6,3.28,281853.0,1989
25,Elevator Apartments,1074489.0,2.0,42.0,871.0,872.0, ,YES,#6,21.0,280000.0,1984
26,Walk-Up Apartments,421833.0,2.0,9.0,355.0,355.0, , ,#6,10.04,279882.0,2003
27,Elevator Apartments,254000.0,1.0,6.0,326.0,326.0, , ,#6,12.62,279225.0,1989
28,Walk-Up Apartments,320157.0,1.0,4.0,360.0,360.0, , ,#6,12.62,262800.0,1989
29,Office Buildings,235000.0,1.0,14.0,227.0,227.0, , ,#4,12.6,262075.0,2002
30,Walk-Up Apartments,201511.0,2.0,12.0,145.0,145.0, ,YES,#6,11.9,260610.0,1990
31,Elevator Apartments,200000.0,1.0,6.0,185.0,185.0, ,YES,#6,14.7,252945.0,1986
32,Elevator Apartments,276550.0,1.0,10.0,298.0,301.0, , ,#4,12.6,246375.0,1994
33,Elevator Apartments,247530.0,1.0,19.0,188.0,188.0, ,YES,#6,17.71,233600.0,1982
34,Educational Structures,174671.0,1.0,18.0,213.0,213.0, , ,#6,17.7,230607.0,2006
35,Elevator Apartments,237000.0,1.0,6.0,176.0,176.0, , ,#6,10.36,229950.0,1994
36,Walk-Up Apartments,90744.0,1.0,6.0,64.0,65.0, , ,#4,5.3,226750.0,1982
37,Office Buildings,105356.0,1.0,6.0,60.0,60.0, , ,#4,5.32,226750.0,1982
38,Loft Buildings,168962.0,1.0,12.0,143.0,143.0, ,YES,#6,10.5,219000.0,1983
39,Office Buildings,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,21.0,219000.0,1969
40,Walk-Up Apartments,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,12.3,219000.0,1969
41,Walk-Up Apartments,421234.0,4.0,8.0,0.0,1.0, , ,#6,23.94,214240.0,2001
42,Elevator Apartments,213921.0,1.0,13.0,183.0,183.0, ,YES,#6,14.76,211044.0,1982
43,Elevator Apartments,27000.0,1.0,5.0,31.0,31.0, , ,#4,2.6,210000.0,1985
44,Loft Buildings,395000.0,3.0,6.0,462.0,462.0, ,YES,#6,8.36,208999.0,2003
